地区,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
北京市,0.1510948905109489,0.15138282387190685,0.14222549742078114,0.12710566615620217,0.11484375,0.11267605633802817,0.12480857580398164,0.11755607115235885,0.10688836104513065,0.08536585365853659
天津市,0.15830945558739257,0.17016806722689073,0.15934844192634562,0.11682242990654206,0.12111801242236024,0.10953506698187548,0.1130030959752322,0.11353032659409021,0.10270700636942676,0.11705426356589146
河北省,0.1627756160830091,0.15657894736842107,0.14944042132982224,0.14016172506738545,0.13129251700680272,0.12663454920853404,0.11797752808988764,0.1088339222614841,0.10164638511095204,0.09300648882480174
山西省,0.14255765199161424,0.1450595655220743,0.13661971830985914,0.10989010989010989,0.10972017673048601,0.10296296296296296,0.08974358974358974,0.08731966590736523,0.09166666666666666,0.08505747126436781
内蒙古自治区,0.13890909090909093,0.14686825053995678,0.1383055756698045,0.10534351145038169,0.10207214121258634,0.09838585703305151,0.1081694402420575,0.09409020217729394,0.09590100541376644,0.09329221279876639
辽宁省,0.20027816411682892,0.20027816411682892,0.1880281690140845,0.1644640234948605,0.15952732644017725,0.14970059880239522,0.14090909090909093,0.1324200913242009,0.1285386381025249,0.12179984484096197
吉林省,0.17546362339514981,0.17726947819871336,0.16726748377793801,0.13724035608308605,0.13268365817091454,0.12358703843255464,0.12207987942727959,0.10864575363427698,0.10948342328450271,0.10170807453416147
黑龙江省,0.17943107221006566,0.17797228300510576,0.1675238795003674,0.1429657794676806,0.13795731707317074,0.12200772200772202,0.12149532710280372,0.11934477379095165,0.1084053417124902,0.09399684044233808
上海市,0.19704433497536947,0.18669527896995708,0.17454545454545456,0.17369186046511628,0.16285924834193075,0.14962406015037594,0.1425322213798332,0.12993039443155452,0.12840466926070038,0.09703287890938252
江苏省,0.18064952638700946,0.1787899388171312,0.17064846416382254,0.15618374558303888,0.1507823613086771,0.14316546762589927,0.1394335511982571,0.1352727272727273,0.12684365781710916,0.12083024462564863
浙江省,0.15889830508474576,0.14924297043979814,0.14150943396226415,0.14727011494252876,0.1406705539358601,0.12976539589442815,0.125,0.11613876319758673,0.11296436694465505,0.09631949882537197
安徽省,0.16548157724628315,0.15817339510258108,0.15425181278839817,0.14655172413793102,0.13948787061994608,0.13224267211997273,0.1297554347826087,0.11497515968772178,0.11158493248045487,0.10401721664275466
福建省,0.1226480836236934,0.12213740458015268,0.11543810848400557,0.1057204923968139,0.10014619883040934,0.09513274336283187,0.09503239740820733,0.09971305595408896,0.09030837004405287,0.07559880239520958
江西省,0.1259259259259259,0.13020134228187918,0.12408272181454304,0.10270645385149203,0.10167130919220056,0.09727081875437368,0.09746053534660261,0.09612724757952974,0.09034051424600417,0.09243697478991596
山东省,0.1779607346421786,0.16742969260954874,0.1594488188976378,0.16341145833333334,0.15824468085106383,0.1516366065464262,0.12907702984038863,0.11642857142857144,0.11663066954643628,0.11490909090909092
河南省,0.1469465648854962,0.14560615779345734,0.13975749840459475,0.12141427618412273,0.11582491582491582,0.11028416779431664,0.10860655737704918,0.10089841050449205,0.09826989619377162,0.08784258608573435
湖北省,0.16302864938608458,0.16325136612021857,0.15453296703296704,0.13617021276595745,0.13062098501070665,0.12481962481962483,0.1223021582733813,0.11597374179431073,0.11258278145695365,0.10250737463126844
湖南省,0.1603102779573368,0.16107823800131493,0.15495732107682206,0.13506320691949433,0.13168449197860962,0.12508497620666212,0.12152777777777778,0.11888111888111888,0.11251758087201126,0.10906515580736545
广东省,0.09406657018813315,0.09568345323741008,0.09090909090909091,0.08408408408408409,0.08597285067873303,0.08233532934131736,0.07767722473604828,0.0770392749244713,0.0735632183908046,0.08276899924755454
广西壮族自治区,0.1257328990228013,0.1313065976714101,0.12580645161290321,0.10258152173913045,0.10197144799456152,0.10013623978201634,0.09727891156462586,0.09717436250861475,0.0973630831643002,0.09533607681755829
海南省,0.11010452961672475,0.11297071129707112,0.10793871866295265,0.09064953604568166,0.09323843416370106,0.08206245461147423,0.08207343412526998,0.0827933765298776,0.08464849354375897,0.07692307692307693
重庆市,0.17911434236615995,0.18322147651006712,0.17749497655726723,0.1523937963587323,0.15342837746096402,0.144718792866941,0.14275814275814275,0.1397318278052223,0.13300142247510668,0.14124293785310735
四川省,0.1814569536423841,0.18114973262032089,0.17568470273881098,0.15703602991162477,0.15739484396200812,0.14972527472527475,0.13914265635980322,0.13713080168776373,0.1295373665480427,0.13966480446927376
贵州省,0.12780989081567115,0.12119248217757614,0.11772315653298836,0.11955085865257596,0.1158173395102581,0.11354581673306774,0.09965635738831616,0.09604904632152587,0.09462219196732471,0.09203296703296704
云南省,0.11624649859943978,0.11691022964509395,0.11257817929117442,0.09826589595375722,0.0987743330930065,0.0955137481910275,0.084241103848947,0.08363374188896901,0.08405797101449275,0.08749096167751265
西藏自治区,0.06052269601100413,0.05894590846047157,0.058333333333333334,0.05935127674258109,0.06042090970807875,0.056657223796034,0.057624736472241735,0.04968062455642299,0.05728429985855728,0.05524475524475525
陕西省,0.14345114345114343,0.14667580534612748,0.1398071625344353,0.11967694566813511,0.12041116005873716,0.11169024571854057,0.11070381231671554,0.10722263588979895,0.10365398956002983,0.10647803425167535
甘肃省,0.13844086021505375,0.13432835820895522,0.13016949152542373,0.12087139845397046,0.11491791577444684,0.11308677098150784,0.10317460317460318,0.09941520467836257,0.09338235294117647,0.08961911874533234
青海省,0.10180055401662048,0.10215427380125086,0.09861111111111111,0.08512160228898426,0.0856115107913669,0.07580174927113703,0.07925072046109509,0.0723155588020453,0.07064821558630735,0.0708955223880597
宁夏回族自治区,0.11080523055746731,0.10426871938418475,0.10062893081761007,0.1005586592178771,0.09490579204466154,0.0900709219858156,0.08485735186539868,0.07815924032140248,0.07396664249456127,0.06764705882352941
新疆维吾尔自治区,0.08465244322092223,0.08415841584158416,0.08081517919887561,0.07932203389830508,0.08067796610169492,0.07162921348314606,0.07262569832402235,0.0723314606741573,0.07107320540156362,0.06839452843772498
